Nome do conjunto de anúncios,Dia,Região,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
QD_Vantagens ||All_cities||traffic,2021-11-19,Sergipe,active,adset,Traffic||Branding geral||Novembro,Cliques no link,15,2581,3064,15.31,1.02,1.187136769,15,22,0.581170089,0.489556136,0,0,1255,510,0,0.03001673,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Paraíba,active,adset,Traffic||Branding geral||Novembro,Cliques no link,4,2322,2786,12.24,3.06,1.199827735,4,7,0.172265289,0.143575018,0,0,911,382,0,0.03203888,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,São Paulo (state),active,adset,Traffic||Branding geral||Novembro,Cliques no link,13,1117,1618,9.13,0.70,1.448522829,13,18,1.163831692,0.803461063,0,0,258,132,0,0.06916142,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Alagoas,active,adset,Traffic||Branding geral||Novembro,Cliques no link,3,1117,1356,6.62,2.21,1.21396598,3,3,0.268576544,0.221238938,0,0,290,114,0,0.05805045,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Ceará,active,adset,Traffic||Branding geral||Novembro,Cliques no link,2,555,763,3.21,1.60,1.374774775,2,3,0.36036036,0.262123198,0,0,163,80,0,0.04011514,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Rio Grande do Norte,active,adset,Traffic||Branding geral||Novembro,Cliques no link,5,243,288,1.66,0.33,1.185185185,2,7,0.823045267,1.736111111,0,0,59,38,0,0.04380012,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Piauí,active,adset,Traffic||Branding geral||Novembro,0,0,299,342,1.51,0.00,1.143812709,0,0,0,0,0,0,64,32,0,0.04734084,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Goiás,active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,160,165,1.00,1.00,1.03125,1,1,0.625,0.606060606,0,0,11,6,0,0.16610822,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Unknown,active,adset,Traffic||Branding geral||Novembro,0,0,39,39,0.23,0.00,1,0,0,0,0,0,0,8,4,0,0.05730734,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Rio Grande do Sul,active,adset,Traffic||Branding geral||Novembro,0,0,16,19,0.12,0.00,1.1875,0,0,0,0,0,0,2,0,0,0,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Pará,active,adset,Traffic||Branding geral||Novembro,0,0,4,6,0.03,0.00,1.5,0,0,0,0,0,0,0,0,0,0,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Paraná,active,adset,Traffic||Branding geral||Novembro,0,0,5,5,0.03,0.00,1,0,0,0,0,0,0,1,0,0,0,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Federal District,active,adset,Traffic||Branding geral||Novembro,0,0,0,2,0.02,0.00,0,0,0,0,0,0,0,0,0,0,0,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Minas Gerais,active,adset,Traffic||Branding geral||Novembro,0,0,0,1,0.01,0.00,0,0,0,0,0,0,0,0,0,0,0,2021-11-19,2021-11-19
